lpermno,datadate,fyear,BE,MKTV.end.of.current.fiscal.year,MKTV.end.of.subsequent.fiscal.year,MKTV.june.of.current.fiscal.year,FF.49
14593,30/09/2012,2012,132057,499695.9938,500680.6338,547363.344,37 Chips
14593,30/09/2013,2013,140038,500680.6338,643120.1292,360224.5063,37 Chips
14593,30/09/2014,2014,131806,643120.1292,583612.7016,556573.661,37 Chips
14601,31/12/2014,2014,4198,8687.22,3996.05,7428.24698,45 Banks
14656,31/12/2010,2010,4436,4860.53949,4379.17214,4191.8712,30 Oil
14702,31/10/2010,2010,7610.814,18586.36565,13870.89585,16146.1054,21 Mach
14702,31/10/2011,2011,8874,13870.89585,13682.82344,17150.4325,21 Mach
14702,31/10/2012,2012,7435,13682.82344,21303.6928,14669.20529,21 Mach
14702,31/10/2013,2013,7159,21303.6928,30439.08224,17927.88692,21 Mach
14702,31/10/2014,2014,7900,30439.08224,21300.02423,27452.39255,21 Mach
15069,31/12/2010,2010,27340,26288.04136,20597.94294,22058.41718,30 Oil
15069,31/12/2011,2011,19696,20597.94294,21658.74522,37512.84852,30 Oil
15069,31/12/2012,2012,20715,21658.74522,24591.1802,18035.00683,30 Oil
15069,31/12/2013,2013,21836,24591.1802,19092.83613,24510.89186,30 Oil
15069,31/12/2014,2014,23506,19092.83613,8526.7034,26989.03376,30 Oil
15202,31/12/2010,2010,4814.428,5695.42476,5085.31855,5596.78419,28 Mines
15202,31/12/2011,2011,4524.145,5085.31855,6745.4718,4974.49271,28 Mines
15202,31/12/2012,2012,4418.429,6745.4718,7723.94638,5138.0769,28 Mines
15202,31/12/2013,2013,4639.181,7723.94638,8656.83819,6290.97632,28 Mines
15202,31/12/2014,2014,4867.836,8656.83819,12661.30543,8338.6275,28 Mines
15553,31/12/2011,2011,4795,4933.0098,4707.74654,3185.88318,31 Util
15553,31/12/2012,2012,5030,4707.74654,5610.40447,4545.7625,31 Util
15553,31/12/2013,2013,5222,5610.40447,6517.92423,5065.23766,31 Util
15553,31/12/2014,2014,5530,6517.92423,7672.5144,6562.76774,31 Util
15560,31/12/2010,2010,842.5,2104.64274,969.41727,2446.24184,43 Rtail
15579,31/12/2010,2010,10523,38160.1025,33170.81589,28453.42128,37 Chips
15579,31/12/2011,2011,11559,33170.81589,34231.64931,38121.17827,37 Chips
15579,31/12/2012,2012,11533,34231.64931,47545.87973,32642.27702,37 Chips
15579,31/12/2013,2013,11355,47545.87973,55957.91256,38375.87905,37 Chips
15579,31/12/2014,2014,10789,55957.91256,55427.59908,51018.50124,37 Chips
15720,31/12/2010,2010,16330,12576.3046,13488.5754,10334.72492,31 Util
15720,31/12/2011,2011,15540,13488.5754,14723.39909,12625.17625,31 Util
15720,31/12/2012,2012,15663,14723.39909,15085.0493,15052.4682,31 Util
15720,31/12/2013,2013,17284,15085.0493,21334.10428,15691.05776,31 Util
15720,31/12/2014,2014,18273,21334.10428,19291.26931,18932.87721,31 Util
16432,31/12/2010,2010,644,2878.51905,3462.52452,2407.64692,23 Autos
16432,31/12/2011,2011,249,3462.52452,3383.45,4094.29488,23 Autos
16432,31/12/2012,2012,-130,3383.45,5914.8,2890.00148,23 Autos
16432,31/12/2013,2013,1106,5914.8,7701.3292,3763.232721,23 Autos
16432,31/12/2014,2014,3610,7701.3292,8722.89,7648.19514,23 Autos
16600,31/12/2010,2010,902.316,7862.6397,10162.06864,7981.63911,2 Food
16600,31/12/2011,2011,849.022,10162.06864,11740.94984,9372.9732,2 Food
16600,31/12/2012,2012,1072.406,11740.94984,15845.28141,11742.69075,2 Food
16600,31/12/2013,2013,1709.038,15845.28141,16654.7825,14561.74656,2 Food
16600,31/12/2014,2014,1554.435,16654.7825,13941.65298,15781.7296,2 Food
16678,31/01/2011,2010,6046,14219.842,13920.90518,12642.37799,43 Rtail
16678,31/01/2012,2011,4628,13920.90518,13489.65268,15006.7776,43 Rtail
16678,31/01/2013,2012,5007,13489.65268,20418.27278,12631.1292,43 Rtail
16678,31/01/2014,2013,6765,20418.27278,31547.91404,17900.11322,43 Rtail
16678,31/01/2015,2014,6621,31547.91404,40772.66309,23973.55,43 Rtail
17005,31/12/2010,2010,41355,47245.476,53080.4714,39901.11888,43 Rtail
17005,31/12/2011,2011,41904,53080.4714,60277.60655,50956.26278,43 Rtail
17005,31/12/2012,2012,41488,60277.60655,85186.47878,59884.58846,43 Rtail
17005,31/12/2013,2013,41839,85186.47878,110408.1467,70010.79174,43 Rtail
17005,31/12/2014,2014,41994,110408.1467,108262.3831,88124.8651,43 Rtail
17144,31/05/2011,2010,7492.9,22628.54908,26050.34691,23569.43808,2 Food
17144,31/05/2012,2011,7593.1,26050.34691,26135.41032,23761.4341,2 Food
17144,31/05/2013,2012,8061.3,26135.41032,31170.59176,24947.28886,2 Food
17144,31/05/2014,2013,8200.8,31170.59176,32197.88084,31285.25274,2 Food
17144,31/05/2015,2014,6547,32197.88084,34212.2727,32285.40968,2 Food
17279,31/12/2010,2010,-225,12276.9966,15391.14,11002.5029,5 Smoke
17279,31/12/2011,2011,-1513,15391.14,15102.34815,15645.16335,5 Smoke
17279,31/12/2012,2012,-1777,15102.34815,18668.68752,17221.71815,5 Smoke
17279,31/12/2013,2013,-2064,18668.68752,22660.16232,16500.29472,5 Smoke
17478,31/12/2010,2010,2274.196,11177.87,13194.198,8878.17,34 BusSv
17478,31/12/2011,2011,1536,13194.198,15181.859,12769.977,34 BusSv
17478,31/12/2012,2012,823,15181.859,21176.56,12586.5,34 BusSv
17478,31/12/2013,2013,1506,21176.56,24158.07,14579.379,34 BusSv
17478,31/12/2014,2014,544,24158.07,26646.174,22600.766,34 BusSv
17750,31/12/2010,2010,6286,25707.27072,28989.77532,25099.12236,39 Paper
17750,31/12/2011,2011,5732,28989.77532,33036.27698,26149.95968,39 Paper
17750,31/12/2012,2012,4985,33036.27698,39866.00994,32847.97617,39 Paper
17750,31/12/2013,2013,5673,39866.00994,43033.4507,37360.43256,39 Paper
17750,31/12/2014,2014,1316,43033.4507,46209.1362,41906.69502,39 Paper
17830,31/12/2010,2010,21385,72690.59904,66225.97192,60566.2228,24 Aero
17830,31/12/2011,2011,21880,66225.97192,75165.85545,81009.83962,24 Aero
17830,31/12/2012,2012,25914,75165.85545,104420.8316,68834.86974,24 Aero
17830,31/12/2013,2013,31866,104420.8316,104840.67,85439.83494,24 Aero
17830,31/12/2014,2014,31213,104840.67,85216.10747,105836.594,24 Aero
18163,30/06/2010,2010,70740,180072.0857,183540.5572,172736.6419,9 Hshld
18163,30/06/2011,2011,77476,183540.5572,185626.9426,177442.5596,9 Hshld
18163,30/06/2012,2012,72376,185626.9426,221291.1857,167831.4925,9 Hshld
18163,30/06/2013,2013,77754,221291.1857,246136.0197,211012.1133,9 Hshld
18163,30/06/2014,2014,78321,246136.0197,216040.7019,212661.3964,9 Hshld
18403,31/01/2011,2010,6652,7644.41676,7506.24735,5077.80756,43 Rtail
18403,31/01/2012,2011,4898,7506.24735,4321.31895,7364.23886,43 Rtail
18403,31/01/2013,2012,3559,4321.31895,2787.30045,5095.26297,43 Rtail
18411,31/12/2010,2010,24265,31757.89038,39898.64712,27440.55808,31 Util
18411,31/12/2011,2011,26998,39898.64712,37420.47786,34287.58674,31 Util
18411,31/12/2012,2012,29129,37420.47786,36248.37251,40220.347,31 Util
18411,31/12/2013,2013,30537,36248.37251,44189.81643,38410.35483,31 Util
18411,31/12/2014,2014,32725,44189.81643,42529.25581,40425.00318,31 Util
18542,31/12/2010,2010,10965,59446.28298,58583.772,37735.07295,21 Mach
18542,31/12/2011,2011,13442,58583.772,58598.04484,68634.01678,21 Mach
18542,31/12/2012,2012,18016,58598.04484,57787.48836,55403.775,21 Mach
18542,31/12/2013,2013,21258,57787.48836,55412.17047,54253.673,21 Mach
18542,31/12/2014,2014,17160,55412.17047,39568.62264,67835.50878,21 Mach
18729,31/12/2010,2010,2783,38793.31308,44716.66761,38628.07828,9 Hshld
18729,31/12/2011,2011,2627,44716.66761,49393.26828,42734.22454,9 Hshld
18729,31/12/2012,2012,2482,49393.26828,60332.87889,49681.4127,9 Hshld
18729,31/12/2013,2013,2749,60332.87889,63059.62762,53436.56002,9 Hshld
18729,31/12/2014,2014,1406,63059.62762,59752.94364,62411.01748,9 Hshld
19166,31/12/2010,2010,1131.5,5794.90104,6059.19492,4175.161,14 Chems
